x,y,z,protein_coulomb,protein_lennard_jones,ligand_coulomb,ligand_lennard_jones
-10.329000473022461,1.2539997100830078,-3.1800003051757812,-6.071348117800693,-0.6347183992846656,-0.1459568812557414,-0.0035605692529837043
-10.329000473022461,1.2539997100830078,-2.6800003051757812,-5.9778429664959525,-0.619313655534443,-0.14631443020646584,-0.003497889964362645
-10.329000473022461,1.7539997100830078,-3.1800003051757812,-6.1484753132635985,-0.01781262989333494,-0.14828786428937432,-0.0037869641472843677
-10.329000473022461,1.7539997100830078,-2.6800003051757812,-6.075104319153392,-0.6171452683935919,-0.14861990314686177,-0.003718944353777424
-10.329000473022461,1.7539997100830078,-2.1800003051757812,-6.066742952038649,-0.5616582408286753,-0.1469137950722429,-0.0034395335780988893
-10.329000473022461,2.253999710083008,-2.6800003051757812,-6.210783899427124,-0.5676080089560556,-0.14879957465490198,-0.0037221248231045496
-10.329000473022461,2.253999710083008,-2.1800003051757812,-6.277677188494393,-0.6382306193398286,-0.1470820160453656,-0.0034424001110908097
-10.329000473022461,2.753999710083008,-2.6800003051757812,-6.396558490761719,-0.6038826508080651,-0.14682095413112892,-0.0035066940724696512
-9.829000473022461,1.2539997100830078,-3.1800003051757812,-6.045251986705364,-0.4062591186501182,-0.17211123683767962,-0.006632592200720958
-9.829000473022461,1.2539997100830078,-2.6800003051757812,-6.001566567535065,-0.44387033102144097,-0.1722750081816653,-0.006489671055261364
-9.829000473022461,1.7539997100830078,-3.1800003051757812,-6.121408139754159,-0.20805854212866326,-0.17568584101397416,-0.0071550730963440366
-9.829000473022461,1.7539997100830078,-2.6800003051757812,-6.112898098517768,-0.5157221043647693,-0.1757992737644573,-0.006997072020079794
-9.829000473022461,1.7539997100830078,-2.1800003051757812,-6.154259002083534,-0.4691536448933751,-0.17285069104356054,-0.0063572893680242685
-9.829000473022461,1.7539997100830078,-1.6800003051757812,-6.2111770920768965,-0.44873239136353527,-0.16741220242638075,-0.005402145001413151
-9.829000473022461,1.7539997100830078,-1.1800003051757812,-6.249520269821879,-0.4693894737203729,-0.16026829600166195,-0.004337701983525429
-9.829000473022461,2.253999710083008,-2.6800003051757812,-6.309847030151981,-0.5799356918858256,-0.17612025430714348,-0.007004440344112036
-9.829000473022461,2.253999710083008,-2.1800003051757812,-6.464164324283375,-0.48922282434000175,-0.17315461630713055,-0.006363776684309293
-9.829000473022461,2.253999710083008,-1.6800003051757812,-6.642037057498673,-0.14203866772271742,-0.16768106681924813,-0.00540737039625591
-9.829000473022461,2.753999710083008,-2.6800003051757812,-6.596703288656205,-0.5523582043942324,-0.17318056228448747,-0.006509700430464588
-9.829000473022461,3.253999710083008,-3.1800003051757812,-6.571538203521121,-0.01335047210993822,-0.1671245768360155,-0.005764368042590776
-9.829000473022461,3.753999710083008,-3.1800003051757812,-6.7152953437862175,-0.05759929736431309,-0.1590921665509339,-0.004702317042487917
-9.329000473022461,0.7539997100830078,-5.680000305175781,-6.05390469088186,-0.22533249327488036,-0.14981768774035906,-0.004065970806726345
