x,y,z,protein_coulomb,protein_lennard_jones,ligand_coulomb,ligand_lennard_jones
-10.142999649047852,1.1579999923706055,-2.9840002059936523,-5.734077161118059,-0.5587324540170798,-0.14576046775268184,-0.0034497674291863335
-10.142999649047852,1.6579999923706055,-2.9840002059936523,-5.8062533674090355,-0.5414893516286413,-0.1463664003069651,-0.0034791052655651702
-9.642999649047852,0.6579999923706055,-4.984000205993652,-5.774409327205007,-0.3329792682945788,-0.14996114636887534,-0.004144138202236727
-9.642999649047852,1.1579999923706055,-2.9840002059936523,-5.762221446931089,-0.17760124523231308,-0.17211818804654208,-0.006440385146082906
-9.642999649047852,1.6579999923706055,-2.9840002059936523,-5.824700602709056,-0.46406401076436155,-0.17300802599591603,-0.006507746398404058
-9.642999649047852,1.6579999923706055,-2.4840002059936523,-5.865145690739004,-0.454605440414519,-0.17071984612413987,-0.005981864591734523
-9.642999649047852,1.6579999923706055,-1.9840002059936523,-5.933783453333629,-0.42693595106533916,-0.1659760153386692,-0.00514498867931899
-9.642999649047852,1.6579999923706055,-1.4840002059936523,-5.999936677139364,-0.4300913661353912,-0.15949685958281037,-0.004180003708898761
-9.642999649047852,2.1579999923706055,-2.9840002059936523,-5.96759138899469,-0.4026341548226591,-0.17077056941712254,-0.0061144730164922915
-9.642999649047852,2.1579999923706055,-2.4840002059936523,-6.095731828355333,-0.522160340851201,-0.16863146864911463,-0.005629843611121336
-9.642999649047852,2.1579999923706055,-1.9840002059936523,-6.285262369082441,-0.36612399903242915,-0.16411089722874206,-0.004856304472459738
-9.642999649047852,2.1579999923706055,-1.4840002059936523,-6.457253580131136,-0.010047978864716747,-0.15788790043763376,-0.003960436744484523
-9.642999649047852,2.6579999923706055,-2.9840002059936523,-6.1744370679268625,-0.40392560616740786,-0.16573013713271845,-0.0053649829563308955
-9.642999649047852,2.6579999923706055,-2.4840002059936523,-6.472640479376349,-0.17951443294025515,-0.16387930871822465,-0.004956731341113871
-9.642999649047852,3.1579999923706055,-2.9840002059936523,-6.419078441432841,-0.4490099344855487,-0.15853024815742667,-0.004433223514414091
-9.642999649047852,3.6579999923706055,-3.4840002059936523,-6.2609994073571,0.27858090059499735,-0.14903286146152578,-0.003522258482892755
-9.142999649047852,0.6579999923706055,-5.484000205993652,-5.685169799521401,-0.27458717319482717,-0.16289854027288553,-0.0056424698220957125
-9.142999649047852,0.6579999923706055,-4.984000205993652,-5.6988282003629855,-0.35686673501218497,-0.17594837177392142,-0.007475172420564075
