x,y,z,protein_coulomb,protein_lennard_jones,ligand_coulomb,ligand_lennard_jones
-9.125,0.26000022888183594,1.3199996948242188,-5.5740654499784394,0.19582092702089307,-0.16206238412613183,-0.00369263107070047
-8.625,-1.739999771118164,0.8199996948242188,-5.972902433278403,-0.735016614583593,-0.2226165044085312,-0.017607342616861713
-8.625,-1.739999771118164,1.3199996948242188,-6.273442914275383,-0.38848459361011667,-0.21495262726322512,-0.015537800280410696
-8.625,-1.239999771118164,1.3199996948242188,-6.093033172127832,-0.47830321750167354,-0.21260890248406783,-0.0146245447308886
-8.625,-0.7399997711181641,1.3199996948242188,-5.919570837744298,-0.3389307202816076,-0.20627006209345428,-0.014142160814088105
-8.625,-0.23999977111816406,1.3199996948242188,-5.746353172887292,-0.4684186929326418,-0.19722476443335532,-0.011838541424100391
-8.625,-0.23999977111816406,1.8199996948242188,-6.028413856880732,-0.06593557755752381,-0.18837038393106656,-0.008617030611476886
-8.625,0.26000022888183594,0.8199996948242188,-5.455542456239765,-0.45221945123280305,-0.19185567178572732,-0.010425040539473927
-8.625,0.26000022888183594,1.3199996948242188,-5.616354863437826,-0.5187986099721354,-0.1868226434791234,-0.009476572274081132
-8.625,0.26000022888183594,1.8199996948242188,-5.8113646833138795,-0.4371541886703639,-0.17923420745408553,-0.005406456846111182
-8.625,0.7600002288818359,0.8199996948242188,-5.462991849266484,-0.41728386221390595,-0.18043699232077953,-0.006660542715938309
-8.625,0.7600002288818359,1.3199996948242188,-5.587516509734232,-0.45788352725292414,-0.1761258660205939,-0.006107407131304898
-8.625,0.7600002288818359,1.8199996948242188,-5.6999982537654414,-0.49441085669253404,-0.16967908100298096,-0.003949506784666669
-8.625,1.260000228881836,0.31999969482421875,-5.47511400338851,-0.300522284412724,-0.17116121431114625,-0.0050802921747615274
-8.125,-1.739999771118164,0.8199996948242188,-6.0509649321086645,-0.4784305586036823,-0.27739844406580616,-0.04017974290675797
-8.125,-1.239999771118164,0.8199996948242188,-5.935559245438253,-0.8441368214776513,-0.2716757532202832,-0.03757624449729744
-8.125,-0.7399997711181641,1.3199996948242188,-6.1338679672676095,0.03489363170294311,-0.24859321925178554,-0.02771598060872847
-8.125,-0.23999977111816406,1.3199996948242188,-5.861301393778849,-0.573750768087436,-0.23365254835712937,-0.02213746236354831
-8.125,-0.23999977111816406,1.8199996948242188,-6.187675369499802,0.1926757029234622,-0.22067637969282583,-0.017970095502329878
-8.125,0.26000022888183594,0.8199996948242188,-5.50829693614621,-0.41895407848659055,-0.22461009046167818,-0.018918663164874942
-8.125,0.26000022888183594,1.3199996948242188,-5.660063194683486,-0.4937071528806857,-0.21753562649325567,-0.016855215545599204
-8.125,0.26000022888183594,1.8199996948242188,-5.841102306138591,-0.5572312265126924,-0.20691082383397416,-0.013965869676693528
-8.125,0.26000022888183594,2.3199996948242188,-5.998060891665391,-0.5036002918782625,-0.19405232747660223,-0.010905887965647136
-8.125,0.26000022888183594,2.8199996948242188,-6.058991225639667,-0.41149416778497083,-0.18021897267708664,-0.006771380606141559
-8.125,0.26000022888183594,3.3199996948242188,-5.990254060144822,-0.45223909923432853,-0.1663756970604647,-0.0037070631836197856
-8.125,0.7600002288818359,0.8199996948242188,-5.469773892598239,-0.37165604344418274,-0.207734476671862,-0.01382527366830131
-8.125,0.7600002288818359,1.3199996948242188,-5.575257028879446,-0.4090900967323379,-0.20194159349972293,-0.012469058386235203
-8.125,0.7600002288818359,1.8199996948242188,-5.669211941506592,-0.4524524032915394,-0.19328567119480816,-0.010533918088662664
-8.125,0.7600002288818359,2.3199996948242188,-5.72559932621901,-0.4855900265433776,-0.18268286110627605,-0.008424679376160812
-8.125,0.7600002288818359,2.8199996948242188,-5.723484635956941,-0.4683877882297007,-0.17105743761496617,-0.005315293187963357
-8.125,1.260000228881836,0.31999969482421875,-5.443813369860906,-0.36647308867545353,-0.19458533010106605,-0.010233672417549852
-8.125,1.260000228881836,0.8199996948242188,-5.557589771470456,-0.18517718279269885,-0.1925115252156263,-0.009952572205707534
-8.125,1.260000228881836,1.3199996948242188,-5.652662310450935,0.07452412108119925,-0.1876904235588974,-0.009073859457281192
-8.125,1.260000228881836,1.8199996948242188,-5.683446607912523,-0.026757371699502003,-0.18056879973553167,-0.006421178224738611
-8.125,1.260000228881836,2.3199996948242188,-5.643311308516482,-0.3080921375679153,-0.1717816293599503,-0.005231688340512107
-8.125,1.760000228881836,-1.6800003051757812,-5.22791977309455,-0.38846753887345997,-0.16811417307388654,-0.001428604906926019
-8.125,1.760000228881836,-1.1800003051757812,-5.342824531259663,-0.41431611321267986,-0.17385691615894436,-0.0017383349670980837
-8.125,1.760000228881836,-0.6800003051757812,-5.41779743518925,-0.4617873112048447,-0.1781831908668043,-0.002019184376817158
-8.125,1.760000228881836,-0.18000030517578125,-5.497869815257078,-0.4616694048868404,-0.1806744740879354,-0.0057282369340092565
-8.125,1.760000228881836,0.31999969482421875,-5.637387764658383,0.19828666136249173,-0.18101720826278223,-0.005949576771045501
-8.125,2.260000228881836,-1.1800003051757812,-5.700771770224265,0.3616410447982735,-0.1639580143257558,-0.0014193994656811339
-8.125,2.260000228881836,-0.6800003051757812,-5.731861956378267,-0.05451412146964157,-0.16729354925554782,-0.0016324533565014656
-8.125,2.260000228881836,-0.18000030517578125,-5.760815938304545,-0.2843763322203801,-0.16906917531055107,-0.0017843852818623506
-7.625,-1.739999771118164,0.8199996948242188,-6.084592340237181,0.043840147017402485,-0.3608167989207392,-0.09496481291980048
-7.625,-1.239999771118164,0.8199996948242188,-6.039450317622583,-0.46450676734301427,-0.34844417646430187,-0.08670301972925075
-7.625,-0.7399997711181641,0.8199996948242188,-5.88585492517598,-0.5516540040130411,-0.32401337447400597,-0.06875009806065208
-7.625,-0.7399997711181641,1.3199996948242188,-6.362646430582582,3.8002033788967737,-0.3068589204651712,-0.05755521382491726
-7.625,-0.23999977111816406,0.8199996948242188,-5.696811461424836,-0.4831300768659629,-0.2946303878452222,-0.050789170301659935
-7.625,-0.23999977111816406,1.3199996948242188,-5.97083635534399,-0.2516910197049376,-0.28126493589579904,-0.043293385512047936
-7.625,-0.23999977111816406,1.8199996948242188,-6.4038438026299636,4.370170861719237,-0.2615900963474515,-0.033494852548776655
-7.625,0.26000022888183594,0.8199996948242188,-5.538538606703681,-0.383871633869293,-0.2659051155484039,-0.03567553434029543
-7.625,0.26000022888183594,1.3199996948242188,-5.690990827518035,-0.447631958428748,-0.25570512725217565,-0.0309922150378673
-7.625,0.26000022888183594,1.8199996948242188,-5.888584604180788,-0.39709496935454947,-0.2405376071739597,-0.02469645004977227
-7.625,0.26000022888183594,2.3199996948242188,-6.062738775196849,-0.03684709274681726,-0.22265759156273976,-0.018390480449412605
-7.625,0.26000022888183594,2.8199996948242188,-6.11969620020907,0.13957255878071492,-0.20403555644408627,-0.013055497107020017
-7.625,0.26000022888183594,3.3199996948242188,-6.027736808989643,-0.244203932476279,-0.1860086864438091,-0.008995736837832521
-7.625,0.26000022888183594,3.8199996948242188,-5.853978966441739,-0.46407510601508134,-0.16929855715790934,-0.0036805136132370747
-7.625,0.7600002288818359,0.8199996948242188,-5.45090526688127,-0.3329052224676122,-0.24062123861989312,-0.02453664384083061
-7.625,0.7600002288818359,1.3199996948242188,-5.544150062830885,-0.35025914783360196,-0.2327399338322596,-0.02168197776157573
-7.625,0.7600002288818359,1.8199996948242188,-5.6368508049986055,-0.386669123667992,-0.22101336108189848,-0.017744332721924723
-7.625,0.7600002288818359,2.3199996948242188,-5.697343392329342,-0.4148006837509766,-0.2069002488441835,-0.013645506674924321
-7.625,0.7600002288818359,2.8199996948242188,-5.698867732972544,-0.40889040083881467,-0.19178136226645173,-0.010019809809612482
-7.625,0.7600002288818359,3.3199996948242188,-5.636872886578476,-0.3821823168821404,-0.17670198743970075,-0.005831796844646228
-7.625,1.260000228881836,-2.6800003051757812,-4.900095746358854,-0.32870010577760733,-0.17794369747164795,-0.001531649659296601
-7.625,1.260000228881836,0.31999969482421875,-5.381459133784079,-0.33441313193573735,-0.22200450722726925,-0.017333047756271987
-7.625,1.260000228881836,0.8199996948242188,-5.459222138771025,-0.32212755806809534,-0.21938028080392785,-0.016767123560124407
-7.625,1.260000228881836,1.3199996948242188,-5.530820537419539,-0.29400173391728823,-0.21309045568171758,-0.01503003056560983
-7.625,1.260000228881836,1.8199996948242188,-5.566590897257438,-0.30684704835243953,-0.20382035085475392,-0.012581933130300503
-7.625,1.260000228881836,2.3199996948242188,-5.554402400675073,-0.3299558414585536,-0.1925198310123506,-0.009949617491150206
-7.625,1.260000228881836,2.8199996948242188,-5.5008380436725925,-0.31596630924978614,-0.18014855507864808,-0.006158498105954267
-7.625,1.260000228881836,3.3199996948242188,-5.420019942404189,-0.27671456215543516,-0.16750052850462577,-0.0016164512608745176
-7.625,1.760000228881836,-2.1800003051757812,-5.0277916493845085,-0.3067028803135184,-0.17913270230854336,-0.0017981043144035748
-7.625,1.760000228881836,-1.6800003051757812,-5.157120618952974,-0.3269709960910817,-0.1875008037346693,-0.003775884154145338
-7.625,1.760000228881836,-1.1800003051757812,-5.252815741973193,-0.3449928853585648,-0.19476337646152264,-0.00862076411770388
-7.625,1.760000228881836,-0.6800003051757812,-5.3162569323319016,-0.38828618989949854,-0.20032661805936425,-0.010177437224399018
-7.625,1.760000228881836,-0.18000030517578125,-5.37741060923986,-0.4153859785751246,-0.2035983838723536,-0.011318244697265951
-7.625,1.760000228881836,0.31999969482421875,-5.467328502876869,-0.36055958544833305,-0.20412015774989564,-0.011775517844682355
-7.625,1.760000228881836,0.8199996948242188,-5.579697148700092,-0.01831255005593066,-0.20170093450071713,-0.011429681775642853
-7.625,1.760000228881836,1.8199996948242188,-5.6540122749039785,0.35081332163917345,-0.18893498887132593,-0.008849444210537063
-7.625,1.760000228881836,2.3199996948242188,-5.562895904892087,-0.13707782117785,-0.17967923031578392,-0.0024653918269274644
-7.625,1.760000228881836,2.8199996948242188,-5.434416423363764,-0.28461926560890766,-0.16939671360605923,-0.0018851896845494655
-7.625,2.260000228881836,-2.1800003051757812,-5.142234653532256,-0.3335404183197301,-0.170058305510277,-0.0014649768899785602
