x,y,z,protein_coulomb,protein_lennard_jones,ligand_coulomb,ligand_lennard_jones
-13.04299964904785,2.060000228881837,-0.9840002059936492,-6631.564147635578,2926.6374022513282,-136.8759146645225,-0.003887135400079643
-12.24299964904785,2.060000228881837,-0.9840002059936492,-6393.033541323711,789.3554359684684,-129.4651456300481,-0.013510907074918251
-11.442999649047849,2.060000228881837,-1.7840002059936493,-6162.249094627164,1440.791904450384,-121.87045488359374,-0.032292780546735685
-11.442999649047849,2.060000228881837,-0.9840002059936492,-6165.660651185034,715.1200040891813,-122.08404338429366,-0.02936565303996113
-11.442999649047849,6.8600002288818365,-3.384000205993649,-6482.314855143922,427.85427209509584,-135.01772512407624,-0.003480401736058924
-10.642999649047848,1.260000228881837,-3.384000205993649,-6002.975469574568,1446.6145637617667,-115.23396864644886,-0.07216213594383616
-10.642999649047848,2.060000228881837,-7.384000205993648,-6409.517783884659,577.2902246802694,-127.4467413899848,-0.01815788045058196
-10.642999649047848,2.060000228881837,-2.5840002059936493,-5962.317520994953,1492.245625029697,-114.77934016344561,-0.0690448140080336
-10.642999649047848,2.060000228881837,-1.7840002059936493,-5947.6151571622895,136.87950880468065,-114.49234459332675,-0.06556899796578208
-10.642999649047848,2.060000228881837,-0.9840002059936492,-5950.288940258424,271.6117154553973,-114.74156880358834,-0.05849081685969164
-10.642999649047848,2.060000228881837,3.815999794006351,-6320.631228062303,969.0020068922057,-126.30118948009762,-0.00785406813945469
-10.642999649047848,2.8600002288818374,4.615999794006351,-6447.416329360981,90.70889070011297,-130.41729856776232,-0.001814508390351639
-10.642999649047848,3.660000228881837,4.615999794006351,-6473.217672725102,17.24996087674015,-131.62078239980215,-0.0016897163186658363
-10.642999649047848,4.460000228881837,4.615999794006351,-6514.009818272304,10.09049699344536,-133.25917738734637,-0.0015092196576602162
-10.642999649047848,6.8600002288818365,-3.384000205993649,-6270.426669335201,229.4662608267866,-128.4749698467533,-0.009240062267102887
-10.642999649047848,6.8600002288818365,-2.5840002059936493,-6237.3078949422015,2534.807168657147,-127.67018654036453,-0.010877989056185162
-10.642999649047848,8.460000228881837,-2.5840002059936493,-6455.23721869549,2421.282374471926,-135.21823440991497,-0.0016184601122752418
-9.842999649047847,0.460000228881837,-5.784000205993649,-6029.805246435168,996.6124964840507,-114.16606530659436,-0.07572067061568448
-9.842999649047847,1.260000228881837,-3.384000205993649,-5804.602716371026,814.4372760399921,-107.89645799005146,-0.15183171324127956
-9.842999649047847,1.260000228881837,0.6159997940063509,-5814.117426661801,723.5335184631664,-109.29876711248785,-0.07663297462787481
-9.842999649047847,2.060000228881837,-2.5840002059936493,-5761.93162796373,143.70240055225108,-107.43638074141295,-0.14174537571057194
-9.842999649047847,2.060000228881837,-1.7840002059936493,-5746.084175193429,250.93944918475168,-107.1559749131662,-0.1329781936384763
-9.842999649047847,2.060000228881837,-0.9840002059936492,-5747.947304292874,442.68092105469384,-107.45071687630525,-0.1149657198446534
-9.842999649047847,2.060000228881837,-0.1840002059936492,-5767.4626174900195,1089.8126920253646,-108.29631043638038,-0.09393231526085132
-9.842999649047847,2.060000228881837,3.815999794006351,-6120.719676513807,387.5040368412183,-119.78675871782602,-0.017579661221665488
-9.842999649047847,2.060000228881837,4.615999794006351,-6238.849400437338,947.8119452932542,-123.32477321162153,-0.01021656703207398
-9.842999649047847,2.060000228881837,5.415999794006351,-6371.547185878435,1846.379710408713,-127.20348188001763,-0.003717816137482651
-9.842999649047847,2.8600002288818374,-2.5840002059936493,-5767.616405994853,866.39370519011,-108.44572329818985,-0.11899564728619409
